edificio,dirección,tipo del edificio,distrito,potencia kwp,empresa instaladora,puesta en servicio
BIBLIOTECA ÁNGEL GONZALEZ,"C/ GRANJA DE TORREHERMOSA, 2 ",cultural, Latina ,20.0,ORTIZ,2019-07-31
BIBLIOTECA IVÁN DE VARGAS,"C/ DOCTOR LETAMENDI, 1",cultural, Centro ,3.0,ORTIZ,2019-07-24
BIBLIOTECA EUGENIO TRIAS (CASA FIERAS),"AV/ MENENDEZ PELAYO , 10-3 BJ ",cultural, Retiro ,18.51183412814345,ORTIZ,2019-07-24
PLANETARIO,AV/ PLANETARIO 16,cultural, Arganzuela ,25.0,FULTON,2019-09-13
MADRID EMPRENDE,"C/CIDRO, 3 ",administrativo, Carabanchel ,10.0,Empresa desconocida,2019-09-13
MARES MADRID,C/ FRANCISCO LAGUNA 38,administrativo, Puente de Vallecas  ,7.0,Empresa desconocida,2019-09-13
NAVE BOETTICHER,"C/ CIFUENTES, 22 28021 MADRID",administrativo, Villaverde ,5.0,Empresa desconocida,2019-09-13
MARES VILLAVERDE MAR DE ALIMENTACION Y CUIDADO,"PASEO ALBERTO PALACIOS, 13",administrativo, Villaverde ,7.0,AURA,2019-01-15
AULA DE LA NATURALEZA DEHESA DE LA VILLA,"C/ FRANCOS RODRIGUEZ, 97 ",medioambiental, Moncloa Aravaca ,6.307692307692309,Empresa desconocida,2008-08-13
VIVERO MUNICIPAL DE ESTUFAS DEL RETIRO,"Pza. del Ángel Caído. Parque del Retiro 
(Entrada al Retiro al final de la cuesta de Claudio Moyano)",medioambiental, Retiro ,5.0,Empresa desconocida,2008-08-13
VIVERO MUNICIPAL DE CASA DE CAMPO,Pº Azul s/n. Parque de la Casa de Campo,medioambiental, Moncloa Aravaca ,5.0,Empresa desconocida,2008-08-13
VIVERO MUNICIPAL DE MIGAS CALIENTES,"Km. 22. M-30 (frente a palacio Moncloa)
 M-30 . Km. 21.600, calzada sur.",medioambiental, Moncloa Aravaca ,5.0,Empresa desconocida,2008-08-13
ROSALEDA DEL PARQUE DEL OESTE,"c/ de la Rosaleda s/n. Rosaleda del Parque del Oeste
 (junto al teleférico)",medioambiental, Moncloa Aravaca ,5.0,Empresa desconocida,2008-08-13
ALMACÉN DE LA VILLA,"C/ AHUMAOS, 27 28052 MADRID",almacén, Vicálvaro ,18.68068312801352,SAVEFFI,2020-03-27
BASE 14 SAMUR,"C/ CASUARINA, 10",sanitario, Latina ,6.0,AURA,2018-02-14
CENTRO PROTECCIÓN ANIMAL,"CARRETERA BARRIO DE LA FORTUNA, KM 10. 28054",sanitario, Latina ,7.428571428571431,POWEN,2018-06-21
PARQUE BOMBEROS Nº 6,"C/ SAN BERNARDO, 68 ",seguridad, Centro ,5.0,AURA,2020-02-14
PARQUE DE BOMBEROS Nº 7,"Av Hellin, 52",seguridad, San Blas Canillejas ,35.0,FERROVIAL,2018-02-13
PARQUE DE BOMBEROS Nº 11,"C/ Mesena, 146",seguridad, Hortaleza ,25.0,FERROVIAL,2019-10-01
CSS JOSÉ VILLARREAL (ARGANZUELA),"PLAZA JOSE VILLARREAL, 2 ",social, Arganzuela ,17.0,Empresa desconocida,2008-09-29
EI LA MELONERA ,"C/ EROS, 2",educativo, Arganzuela ,15.220080089559456,IMESAPI,2019-05-07
CDM MARQUÉS DE SAMARANCH,Pº IMPERIAL 20,deportivo, Arganzuela ,90.0,EULEN,2019-02-12
CDI ARGANZUELA,"C/ CANARIAS, 17 Y PALOS DE LA FRONTERA, 16",mixto, Arganzuela ,90.0,EULEN,2019-03-10
CDM ARGANZUELA LA FUNDI,"C/ ALICANTE , 14",deportivo, Arganzuela ,10.0,Empresa desconocida,2020-02-28
CC Y BIBLIOTECA GLORIA FUERTES,AV/ LOGROÑO 181,cultural, Barajas ,18.51183412814345,DRAGADOS,2019-12-14
CMM ACUARIO,"C/ ACUARIO, 27",social, Barajas ,14.560321808799788,EULEN,2019-04-01
CC SAN FRANCISCO LA PRENSA,"C/ALISEDA, 6 ",cultural, Carabanchel ,5.0,Empresa desconocida,2008-09-29
CC GARCÍA LORCA,"C/ EUGENIA DE MONTIJO, 105, B 1",cultural, Carabanchel ,3.0,AURA,2018-09-25
ANTIGUO CANÓDROMO,"C/ VÍA CARPETANA, 71",deportivo, Carabanchel ,3.0,AURA,2019-03-07
CEIP FERNANDO EL CATÓLICO,"C/ FERNANDO EL CATÓLICO, 16",educativo, Chamberí ,15.220080089559456,EULEN,2019-12-14
"JMD CIUDAD LINEAL (CMM, CC, BIBLIOTECA)","C/ HERMANOS GARCÍA NOBLEJAS, 16",mixto, Ciudad Lineal ,11.594966390334177,PECSA,2018-10-24
"CENTRO DE DÍA Y DE MAYORES ASCAO/
BIBLIOTECA PABLO NERUDA","C/ ASCAO, 2","cultural, social", Ciudad Lineal ,11.580242302503304,PECSA,2018-01-21
CC LA ELIPA Y CSS SANTA FELICIDAD,"C/SANTA FELICIDAD, 37","cultural, social", Ciudad Lineal ,15.0,PECSA,2018-08-22
CC Y CMM SAN JUAN BAUTISTA,"C/ SAN NEMESIO, 1","cultural, social", Ciudad Lineal ,25.0,PECSA,2018-01-21
CM Y CSS LUIS VIVES,"C/ HERMANOS GARCÍA NOBLEJAS, 170",social, Ciudad Lineal ,10.0,PECSA,2018-01-21
"CMM ISLAS FILIPINAS, CENTRO JUVENIL Y BIBLIOTECA LA ELIPA","C/ NUESTRA SEÑORA DEL VILLAR, 8",social, Ciudad Lineal ,15.0,PECSA,2018-10-24
CSS SAN VICENTE DE PAUL, C/BUITRAGO DE LOZOYA 22,social, Fuencarral El Pardo ,14.560321808799788,Empresa desconocida,2018-09-01
EI ELENA FORTÚN (MONTECARMELO),AV/ M.º SILOS 57 / CAAVEIRO,educativo, Fuencarral El Pardo ,15.220080089559456,ORTHEM,2019-03-07
CDM VICENTE DEL BOSQUE,"AV/ MONFORTE DE LEMOS, 13",deportivo, Fuencarral El Pardo ,50.0,ORTIZ,2019-05-28
CDM LA MASÓ,"C/ DE LA MASÓ, 190 BJ ",deportivo, Fuencarral El Pardo ,7.0,DRAGADOS,2019-12-11
EI EL FRESNO,"C/MARIA CASARES, 15 ",educativo, Fuencarral El Pardo ,15.220080089559456,Empresa desconocida,2019-04-26
EI POETA GLORIA FUERTES (LAS TABLAS), C/ EUNATE 6 C/CASTILLO DE CANDANCHÚ 42-46,educativo, Fuencarral El Pardo ,15.220080089559456,CONDISA,2019-02-12
CDM LUIS ARAGONÉS,C/PROVENCIO 20,deportivo, Hortaleza ,11.588390932122444,DRAGADOS,2018-11-15
CC SANCHINARRO Y BIBLIOTECA MARÍA LEJÁRRAGA,"C/ PRINCESA ÉBOLI, 29",cultural, Hortaleza ,20.0,DRAGADOS,2019-02-22
JMD HORTALEZA,CARRETERA DE CANILLAS 2,administrativo, Hortaleza ,16.51542372140949,DRAGADOS,2019-03-07
CC FEDERICO CHUECA ,"C/ BENITA ÁVILA, 17",cultural, Hortaleza ,20.0,DRAGADOS,2018-11-19
JMD LATINA,"AV/ LAS AGUILAS, 2 (ANT AV/DEL GENERAL FANJUL)",administrativo, Latina ,27.0,AURA,2018-11-22
CDM LAS CRUCES,"AV/ POBLADOS, S/N BJ - ",deportivo, Latina ,17.0,FERROVIAL,2019-02-08
CENTRO DE DÍA GERTRUDIS DE LA FUENTE,"C/ ALHAMBRA / C/ CUÑA LATINA DOS, 2",social, Latina ,50.0,AURA,2019-05-25
CENTRO DE ACOGIDA MUNICIPAL PUERTA ABIERTA,"C/ PINAR DE SAN JOSE , 104 - MADRID (28054)",social, Latina ,12.0,Empresa desconocida,2016-08-08
CDM GALLUR,"C/ GALLUR, 2",deportivo, Latina ,20.0,AURA,2020-02-19
EI BOLA DE CRISTAL (VALDEZARZA),"C/ ISLAS BISAGOS, 13",educativo, Moncloa Aravaca ,6.0,CYOPSA,2018-12-06
IDM LA BOMBILLA,"Paseo Senda del Rey, 8",deportivo, Moncloa Aravaca ,12.0,ORTIZ,2019-01-23
CC EDUARDO CHILLIDA Y BIBLIOTECA MIGUEL DELIBES,"C/ ARROYO BELINCOSO, 9",cultural, Moratalaz ,10.0,PECSA,2018-10-24
CMM/CSS LADERA EL ALMENDRO,"C/ LADERA DE LOS ALMENDROS, 4-6",social, Moratalaz ,14.560321808799788,PECSA,2018-10-24
EI SABINA (MORATALAZ),C/ CAÑÓN DEL RIO LOBOS,educativo, Moratalaz ,6.0,CYOPSA,2018-10-24
CDM MORATALAZ,C/ VALDEBERNARDO 2,deportivo, Moratalaz ,40.0,FERROVIAL,2019-03-08
CSS  Y APARTAMENTOS TUTELADOS RETIRO,"C/ JOSE MARTÍNEZ DE VELASCO, 22",social, Retiro ,14.560321808799788,OHL,2019-03-25
ESCUELAS AGUIRRE,C/ PIO BAROJA 4,educativo, Retiro ,7.0,OHL,2019-03-03
CEIP JOSE CALVO SOTELO,"AV/ CIUDAD DE BARCELONA, 83",educativo, Retiro ,7.0,OHL,2019-03-03
CEIP CIUDAD DE ROMA,"C/ JUAN ESPLANDIÚ,2 ",educativo, Retiro ,40.0,OHL,2019-03-03
CMM LA ESTRELLA - CARMEN MARTÍN GAITE,C/ PEZ AUSTRAL 6 - 28007 MADRID,social, Retiro ,14.560321808799788,Empresa desconocida,2016-10-23
CMM/CENTRO DIA/CSS LA GUINDALERA,"C/ PILAR DE ZARAGOZA, 28, Bajo",social, Salamanca ,14.560321808799788,FERROVIAL,2018-09-20
CC Y BIBLIOTECA BUENAVISTA,"AV DE LOS TOREROS, 5",cultural, Salamanca ,18.51183412814345,FERROVIAL,2018-11-13
CC JOSE LUIS LÓPEZ VÁZQUEZ,"C/ FEBRERO, 4",cultural, San Blas Canillejas ,15.0,DRAGADOS,2018-11-19
JMD SAN BLAS,"AV/ DE ARCENTALES, 26",administrativo, San Blas Canillejas ,16.51542372140949,DRAGADOS,2019-03-07
CDM ANTONIO DÍAZ MIGUEL,"C/JOAQUIN DICENTA, 1 ",deportivo, Tetuán ,25.0,Empresa desconocida,2018-01-15
CC EDUARDO ÚRCULO Y BIBLIOTECA MARÍA ZAMBRANO,"PLAZA DE DONOSO, 5",cultural, Tetuán ,18.51183412814345,FERROVIAL,2018-11-12
CSS SAN FILIBERTO,"C/ SAN FILIBERTO, 5 BJ ",social, Usera ,14.560321808799788,AURA,2018-03-05
CMM ORCASUR,"AV ORCASUR, 64",social, Usera ,14.560321808799788,AURA,2018-02-19
CC ORCASUR Y BIBLIOTECA GABRIEL GARCÍA MÁRQUEZ," PLAZA PUEBLO, 1 BJ1",cultural, Usera ,30.0,AURA,2018-10-16
JMD USERA,"AV/. RAFAELA YBARRA, 41",administrativo, Usera ,5.0,AURA,2018-12-14
CDM ORCASUR,"C/ MOREJA, 3",deportivo, Usera ,30.132938213671185,AURA,2019-02-14
EI PENSAMIENTO (MIRASIERRA),"C/ MIRASIERRA, 27 ",educativo, Usera ,15.220080089559456,IMESAPI,2019-01-03
CDM VICÁLVARO (MARGOT MOLÉS),"Pº POLIDEPORTIVO, 3",deportivo, Vicálvaro ,40.0,ELECTOSA ,2018-05-09
CC VALDEBERNARDO Y BIBLIOTECA FRANCISCO AYALA,"C/ BULEVAR INDALECIO PRIETO, 21",cultural, Vicálvaro ,20.0,PECSA,2018-11-12
CC EL MADROÑO Y BIBLIOTECA VICÁLVARO,"C/ VILLARDONDIEGO, 36",cultural, Vicálvaro ,11.57590114596134,PECSA,2018-11-12
JMD VICÁLVARO,"PLAZA DON ANTONIO DE ANDRÉS, 18",administrativo, Vicálvaro ,11.572802595695604,PECSA,2018-11-12
CSS PUERTO DE LAS PILAS,"C/ FUENTIDUEÑA,16",social, Villa de Vallecas ,20.0,PECSA,2018-11-12
CMM VILLA DE VALLECAS ,"C/ PICO DE MAMPODRE, 6",social, Villa de Vallecas ,6.0,PECSA,2018-11-16
JMD VILLA DE VALLECAS,"Pº FEDERICO GARCÍA LORCA, 12",administrativo, Villa de Vallecas ,11.579238658972502,PECSA,2018-11-16
CDM FÉLIX RUBIO,"C/CIUDADANÍA, 9",deportivo, Villaverde ,30.132938213671185,AURA,2018-03-07
CC MARCONI,"AV/ MARCONI, 2 BAJO/1",cultural, Villaverde ,10.0,AURA,2018-02-19
CC LOS ROSALES (NUEVO ROSALES),"AV/ LOS ROSALES, 133",cultural, Villaverde ,20.0,AURA,2018-03-05
CC BOHEMIOS,"C/ BOHEMIOS 1, B1",cultural, Villaverde ,10.0,AURA,2018-02-19
JMD VILLAVERDE,"C/ ARROYO BUENO, 53, Sot Dch 1",administrativo, Villaverde ,16.51542372140949,AURA,2018-11-12
CDM EL ESPINILLO,"CARRETERA DE VILLAVERDE A VALLECAS, 19",deportivo, Villaverde ,10.0,AURA,2020-01-29
EI MAMUT  (BUTARQUE),"C/ MARICARA, 32",educativo, Villaverde ,5.0,UGARTE,2019-01-03
PARQUE BOMBEROS Nº 8,CALLE BOADA 9,seguridad, Puente de Vallecas ,25.0,FERROVIAL,2019-10-18
CASA ASOCIACIONES HORTALEZA,CALLE MATAPOZUELOS 6,social, Hortaleza ,9.0,Empresa desconocida,2020-03-23
EI PLÉYADES,AVENIDA SECUNDINO ZUAZO 52,educativo, Hortaleza ,15.220080089559456,Empresa desconocida,2020-03-23
CMM VALLEHERMOSO,CALLE VALLEHERMOSO 47,social, Chamberí ,5.0,Empresa desconocida,2020-03-23
BIBLIOTECA GERARDO DIEGO,"CALLE  MONTE AYA,  12",cultural, Villa de Vallecas ,18.51183412814345,ACCIONA,2020-11-20
CEIP  SAN JUAN DE LA CRUZ,"C/ DE HONDURAS, 10, 28016 MADRID",educativo, Chamartín ,15.220080089559456,Empresa desconocida,2020-11-10
CEIP ARQUITECTO GAUDÍ,"C/ ROSA JARDÓN, 10, 28016 MADRID",educativo, Chamartín ,15.220080089559456,Empresa desconocida,2020-11-10
CEIP ISAAC ALBÉNIZ,"C/ DRACENA, 29, 28016 MADRID",educativo, Chamartín ,15.220080089559456,Empresa desconocida,2020-11-17
CEIP PADRE POVEDA,"AV/ ALFONSO XIII, 23, 28002 MADRID",educativo, Chamartín ,15.220080089559456,Empresa desconocida,2020-11-10
EI PARQUE INGENIEROS,C/TABERNERA DEL PUERTO 26,educativo, Villaverde ,5.0,Empresa desconocida,2020-11-10
BIBLIOTECA ÁNGEL GONZALEZ,"C/ GRANJA DE TORREHERMOSA, 2 ",cultural, Latina ,18.51183412814345,ORTIZ,2019-07-31
BIBLIOTECA IVÁN DE VARGAS,"C/ DOCTOR LETAMENDI, 1",cultural, Centro ,18.51183412814345,ORTIZ,2019-07-24
BIBLIOTECA EUGENIO TRIAS (CASA FIERAS),"AV/ MENENDEZ PELAYO , 10-3 BJ ",cultural, Retiro ,18.51183412814345,ORTIZ,2019-07-24
PLANETARIO,AV/ PLANETARIO 16,cultural, Arganzuela ,11.57833060053987,FULTON,2019-09-13
MADRID EMPRENDE,"C/CIDRO, 3 ",administrativo, Carabanchel ,16.51542372140949,Empresa desconocida,2019-09-13
MARES MADRID,C/ FRANCISCO LAGUNA 38,administrativo, Puente de Vallecas  ,16.51542372140949,ETRALUX,2019-09-13
NAVE BOETTICHER,"C/ CIFUENTES, 22 28021 MADRID",administrativo, Villaverde ,16.51542372140949,AURA,2019-01-15
MARES VILLAVERDE MAR DE ALIMENTACION Y CUIDADO,"PASEO ALBERTO PALACIOS, 13",administrativo, Villaverde ,16.51542372140949,Empresa desconocida,2008-08-13
AULA DE LA NATURALEZA DEHESA DE LA VILLA,"C/ FRANCOS RODRIGUEZ, 97 ",medioambiental, Moncloa Aravaca ,6.307692307692309,Empresa desconocida,2008-08-13
VIVERO MUNICIPAL DE ESTUFAS DEL RETIRO,"Pza. del Ángel Caído. Parque del Retiro 
(Entrada al Retiro al final de la cuesta de Claudio Moyano)",medioambiental, Retiro ,6.307692307692309,Empresa desconocida,2008-08-13
VIVERO MUNICIPAL DE MIGAS CALIENTES,"Km. 22. M-30 (frente a palacio Moncloa)
 M-30 . Km. 21.600, calzada sur.",medioambiental, Moncloa Aravaca ,6.307692307692309,Empresa desconocida,2008-08-13
ROSALEDA DEL PARQUE DEL OESTE,"c/ de la Rosaleda s/n. Rosaleda del Parque del Oeste
 (junto al teleférico)",medioambiental, Moncloa Aravaca ,6.307692307692309,SAVEFFI,2008-08-13
ALMACÉN DE LA VILLA,"C/ AHUMAOS, 27 28052 MADRID",almacén, Vicálvaro ,18.68068312801352,PECSA,2018-06-11
BASE 14 SAMUR,"C/ CASUARINA, 10",sanitario, Latina ,7.428571428571431,POWEN,2018-06-21
CENTRO PROTECCIÓN ANIMAL,"CARRETERA BARRIO DE LA FORTUNA, KM 10. 28054",sanitario, Latina ,7.428571428571431,AURA,2020-02-14
PARQUE BOMBEROS Nº 6,"C/ SAN BERNARDO, 68 ",seguridad, Centro ,21.65000000000001,FERROVIAL,2018-02-13
PARQUE DE BOMBEROS Nº 7,"Av Hellin, 52",seguridad, San Blas Canillejas ,21.65000000000001,FERROVIAL,2019-10-01
PARQUE DE BOMBEROS Nº 11,"C/ Mesena, 146",seguridad, Hortaleza ,21.65000000000001,Empresa desconocida,2008-09-29
CSS JOSÉ VILLARREAL (ARGANZUELA),"PLAZA JOSE VILLARREAL, 2 ",social, Arganzuela ,14.560321808799788,IMESAPI,2019-05-07
EI LA MELONERA ,"C/ EROS, 2",educativo, Arganzuela ,15.220080089559456,EULEN,2019-02-12
CDM MARQUÉS DE SAMARANCH,Pº IMPERIAL 20,deportivo, Arganzuela ,11.612028330357829,EULEN,2019-03-10
CDI ARGANZUELA,"C/ CANARIAS, 17 Y PALOS DE LA FRONTERA, 16",mixto, Arganzuela ,11.615799959023189,Empresa desconocida,2020-02-28
CDM ARGANZUELA LA FUNDI,"C/ ALICANTE , 14",deportivo, Arganzuela ,30.132938213671185,DRAGADOS,2019-12-14
CC Y BIBLIOTECA GLORIA FUERTES,AV/ LOGROÑO 181,cultural, Barajas ,18.51183412814345,EULEN,2019-04-01
CMM ACUARIO,"C/ ACUARIO, 27",social, Barajas ,14.560321808799788,Empresa desconocida,2008-09-29
CC SAN FRANCISCO LA PRENSA,"C/ALISEDA, 6 ",cultural, Carabanchel ,18.51183412814345,AURA,2018-09-25
CSC GARCÍA LORCA,"C/ EUGENIA DE MONTIJO, 105, B 1",cultural, Carabanchel ,18.51183412814345,AURA,2019-03-07
ANTIGUO CANÓDROMO,"C/ VÍA CARPETANA, 71",deportivo, Carabanchel ,30.132938213671185,EULEN,2019-12-14
CEIP FERNANDO EL CATÓLICO,"C/ FERNANDO EL CATÓLICO, 16",educativo, Chamberí ,15.220080089559456,PECSA,2018-10-24
"JMD CIUDAD LINEAL (CMM, CC, BIBLIOTECA)","C/ HERMANOS GARCÍA NOBLEJAS, 16",mixto, Ciudad Lineal ,11.594966390334177,PECSA,2018-01-21
"CENTRO DE DÍA Y DE MAYORES ASCAO/
BIBLIOTECA PABLO NERUDA","C/ ASCAO, 2",mixto, Ciudad Lineal ,11.580242302503304,PECSA,2018-08-22
CC LA ELIPA Y CSS SANTA FELICIDAD,"C/SANTA FELICIDAD, 37",mixto, Ciudad Lineal ,11.575614390666823,PECSA,2018-01-21
CC Y CMM SAN JUAN BAUTISTA,"C/ SAN NEMESIO, 1",mixto, Ciudad Lineal ,11.57476607292055,PECSA,2018-01-21
CMM Y CSS LUIS VIVES,"C/ HERMANOS GARCÍA NOBLEJAS, 170",social, Ciudad Lineal ,11.571623712818154,PECSA,2018-10-24
"CMM ISLAS FILIPINAS, CENTRO JUVENIL Y BIBLIOTECA LA ELIPA","C/ NUESTRA SEÑORA DEL VILLAR, 8",social, Ciudad Lineal ,11.575096638051727,AVELSA (Avance Electrico S.L) ,2018-09-01
CSS SAN VICENTE DE PAUL, C/BUITRAGO DE LOZOYA 22,social, Fuencarral El Pardo ,14.560321808799788,ORTHEM,2019-03-07
EI ELENA FORTÚN (MONTECARMELO),AV/ M.º SILOS 57 / CAAVEIRO,educativo, Fuencarral El Pardo ,15.220080089559456,Ortiz,2019-05-28
CDM VICENTE DEL BOSQUE,"AV/ MONFORTE DE LEMOS, 13",deportivo, Fuencarral El Pardo ,11.59603375726376,DRAGADOS,2019-12-11
CDM LA MASÓ,"C/ DE LA MASÓ, 190 BJ ",deportivo, Fuencarral El Pardo ,11.599865126615477,Empresa desconocida,2019-04-26
EI EL FRESNO,"C/MARIA CASARES, 15 ",educativo, Fuencarral El Pardo ,15.220080089559456,CONDISA,2019-02-12
EI POETA GLORIA FUERTES (LAS TABLAS),C/ EUNATE 6 C/CASTILLO DE CANDANCHÚ 42-46,educativo, Fuencarral El Pardo ,15.220080089559456,DRAGADOS,2018-11-15
CDM LUIS ARAGONÉS,C/PROVENCIO 20,deportivo, Hortaleza ,11.588390932122444,DRAGADOS,2019-02-22
CC SANCHINARRO Y BIBLIOTECA MARÍA LEJÁRRAGA,"C/ PRINCESA ÉBOLI, 29",cultural, Hortaleza ,18.51183412814345,DRAGADOS,2019-03-07
JMD HORTALEZA,CARRETERA DE CANILLAS 2,administrativo, Hortaleza ,16.51542372140949,DRAGADOS,2018-11-19
CC FEDERICO CHUECA ,"C/ BENITA ÁVILA, 17",cultural, Hortaleza ,18.51183412814345,AURA,2018-11-22
JMD LATINA,"AV/ LAS AGUILAS, 2 (ANT AV/DEL GENERAL FANJUL)",administrativo, Latina ,11.586817760715036,FERROVIAL,2019-02-08
CDM LAS CRUCES,"AV/ POBLADOS, S/N BJ - ",deportivo, Latina ,30.132938213671185,AURA,2019-05-25
CENTRO DE DÍA GERTRUDIS DE LA FUENTE,"C/ ALHAMBRA / C/ CUÑA LATINA DOS, 2",social, Latina ,11.573176970663445,Empresa desconocida,2016-08-08
CENTRO DE ACOGIDA MUNICIPAL PUERTA ABIERTA,"C/ PINAR DE SAN JOSE , 104 - MADRID (28054)",social, Latina ,11.58259210283336,AURA,2020-02-19
CDM GALLUR,"C/ GALLUR, 2",deportivo, Latina ,11.591246536930326,CYOPSA,2018-12-06
EI BOLA DE CRISTAL (VALDEZARZA),"C/ ISLAS BISAGOS, 13",educativo, Moncloa Aravaca ,15.220080089559456,CONDISA (grupo Ortiz),2019-01-23
IDM LA BOMBILLA,"Paseo Senda del Rey, 8",deportivo, Moncloa Aravaca ,30.132938213671185,PECSA,2018-10-24
CC EDUARDO CHILLIDA Y BIBLIOTECA MIGUEL DELIBES,"C/ ARROYO BELINCOSO, 9",cultural, Moratalaz ,18.51183412814345,PECSA,2018-10-24
CMM/CSS LADERA EL ALMENDRO,"C/ LADERA DE LOS ALMENDROS, 4-6",social, Moratalaz ,14.560321808799788,CYOPSA,2018-10-24
EI SABINA (MORATALAZ),C/ CAÑÓN DEL RIO LOBOS,educativo, Moratalaz ,15.220080089559456,FERROVIAL,2018-10-24
CDM MORATALAZ,C/ VALDEBERNARDO 2,deportivo, Moratalaz ,11.59841143658078,OHL,2019-03-25
