edificio,dirección,tipo del edificio,distrito,potencia kwp,empresa instaladora,puesta en servicio
CSS  Y APARTAMENTOS TUTELADOS RETIRO,"C/ JOSE MARTÍNEZ DE VELASCO, 22",social, Retiro ,14.560321808799788,OHL,2019-03-03
CEIP ESCUELAS AGUIRRE,C/ PIO BAROJA 4,educativo, Retiro ,15.220080089559456,OHL,2019-03-03
CEIP JOSE CALVO SOTELO,"AV/ CIUDAD DE BARCELONA, 83",educativo, Retiro ,15.220080089559456,OHL,2019-03-03
CEIP CIUDAD DE ROMA,"C/ JUAN ESPLANDIÚ,2 ",educativo, Retiro ,15.220080089559456,Empresa desconocida,2016-10-23
CMM LA ESTRELLA - CARMEN MARTÍN GAITE,C/ PEZ AUSTRAL 6 - 28007 MADRID,social, Retiro ,14.560321808799788,FERROVIAL,2018-09-20
CMM/CENTRO DIA/CSS LA GUINDALERA,"C/ PILAR DE ZARAGOZA, 28, Bajo",social, Salamanca ,14.560321808799788,FERROVIAL,2018-11-13
CC BUENAVISTA Y BIBLIOTECA DAVID GISTAU,"AV DE LOS TOREROS, 5",cultural, Salamanca ,18.51183412814345,DRAGADOS,2018-11-19
CC JOSE LUIS LÓPEZ VÁZQUEZ,"C/ FEBRERO, 4",cultural, San Blas Canillejas ,18.51183412814345,DRAGADOS,2019-03-07
JMD SAN BLAS - CANILLEJAS,"AV/ DE ARCENTALES, 26",administrativo, San Blas Canillejas ,16.51542372140949,Empresa desconocida,2018-01-15
CDM ANTONIO DÍAZ MIGUEL,"C/JOAQUIN DICENTA, 1 ",deportivo, Tetuán ,30.132938213671185,FERROVIAL,2018-11-12
CC EDUARDO ÚRCULO Y BIBLIOTECA MARÍA ZAMBRANO,"PLAZA DE DONOSO, 5",cultural, Tetuán ,18.51183412814345,AURA,2018-03-05
CSS SAN FILIBERTO,"C/ SAN FILIBERTO, 5 BJ ",social, Usera ,14.560321808799788,AURA,2018-02-19
CMM ORCASUR,"AV ORCASUR, 64",social, Usera ,14.560321808799788,AURA,2018-10-16
CC ORCASUR Y BIBLIOTECA GABRIEL GARCÍA MÁRQUEZ," PLAZA PUEBLO, 1 BJ1",cultural, Usera ,18.51183412814345,AURA,2018-12-14
JMD USERA,"AV/. RAFAELA YBARRA, 41",administrativo, Usera ,16.51542372140949,AURA,2019-02-14
CDM ORCASUR,"C/ MOREJA, 3",deportivo, Usera ,30.132938213671185,IMESAPI,2019-01-03
EI PENSAMIENTO (MIRASIERRA),"C/ MIRASIERRA, 27 ",educativo, Usera ,15.220080089559456,ELECTOSA ,2018-05-09
CDM VICÁLVARO (MARGOT MOLÉS),"Pº POLIDEPORTIVO, 3",deportivo, Vicálvaro ,11.593441011475852,PECSA,2018-11-12
CC VALDEBERNARDO Y BIBLIOTECA FRANCISCO AYALA,"C/ BULEVAR INDALECIO PRIETO, 21",cultural, Vicálvaro ,11.578880214854358,PECSA,2018-11-12
CC EL MADROÑO Y BIBLIOTECA VICÁLVARO,"C/ VILLARDONDIEGO, 36",cultural, Vicálvaro ,11.57590114596134,PECSA,2018-11-12
JMD VICÁLVARO,"PLAZA DON ANTONIO DE ANDRÉS, 18",administrativo, Vicálvaro ,11.572802595695604,PECSA,2018-11-12
CSS PUERTO DE LAS PILAS,"C/ FUENTIDUEÑA,16",social, Villa de Vallecas ,11.570201884482849,PECSA,2018-11-16
CMM VILLA DE VALLECAS ,"C/ PICO DE MAMPODRE, 6",social, Villa de Vallecas ,14.812046160513145,PECSA,2018-11-16
JMD VILLA DE VALLECAS,"Pº FEDERICO GARCÍA LORCA, 12",administrativo, Villa de Vallecas ,11.579238658972502,AURA,2018-03-07
CDM FÉLIX RUBIO,"C/CIUDADANÍA, 9",deportivo, Villaverde ,30.132938213671185,AURA,2018-02-19
CC MARCONI,"AV/ MARCONI, 2 BAJO/1",cultural, Villaverde ,18.51183412814345,AURA,2018-03-05
CC LOS ROSALES (NUEVO ROSALES),"AV/ LOS ROSALES, 133",cultural, Villaverde ,18.51183412814345,AURA,2018-02-19
CC BOHEMIOS,"C/ BOHEMIOS 1, B1",cultural, Villaverde ,18.51183412814345,AURA,2018-11-12
JMD VILLAVERDE,"C/ ARROYO BUENO, 53, Sot Dch 1",administrativo, Villaverde ,16.51542372140949,AURA,2020-01-29
CDM EL ESPINILLO,"CARRETERA DE VILLAVERDE A VALLECAS, 19",deportivo, Villaverde ,30.132938213671185,UGARTE,2019-01-03
EI MAMUT  (BUTARQUE),"C/ MARICARA, 32",educativo, Villaverde ,15.220080089559456,FERROVIAL,2019-10-18
PARQUE BOMBEROS Nº 8,CALLE BOADA 9,seguridad, Puente de Vallecas ,21.65000000000001,SAVEFFI,2020-03-25
CC RUBÉN DARÍO/CASA ASOCIACIONES HORTALEZA ,CALLE MATAPOZUELOS 2,mixto, Hortaleza ,26.67175038015901,Empresa desconocida,2020-03-25
EI PLÉYADES,AVENIDA SECUNDINO ZUAZO 52,educativo, Hortaleza ,15.220080089559456,SAVEFFI,2020-03-25
CMM VALLEHERMOSO,CALLE VALLEHERMOSO 47,social, Chamberí ,14.560321808799788,ACCIONA,2020-11-20
BIBLIOTECA GERARDO DIEGO,"CALLE  MONTE AYA,  12",cultural, Villa de Vallecas ,18.51183412814345,ACCIONA,2020-12-03
BIBLIOTECA MANUEL VÁZQUEZ MONTALBÁN,"CALLE FRANCOS RODRÍGUEZ, 67",cultural, Tetuán ,18.51183412814345,ACCIONA,2020-12-03
CDM PLATA Y CASTAÑAR,"PASEO  PLATA Y CASTAÑAR,  7",deportivo, Villaverde  ,30.132938213671185,SAVEFFI,2020-12-16
CDM JOSE MARIA CAGIGAL,"C/ SANTA POLA, 22",deportivo, Moncloa Aravaca ,30.132938213671185,Empresa desconocida,2020-11-10
CEIP SAN JUAN DE LA CRUZ,"C/ DE HONDURAS, 10, 28016 MADRID",educativo, Chamartín ,15.220080089559456,Empresa desconocida,2020-11-10
CEIP ARQUITECTO GAUDÍ,"C/ ROSA JARDÓN, 10, 28016 MADRID",educativo, Chamartín ,15.220080089559456,Empresa desconocida,2020-11-17
CEIP ISAAC ALBÉNIZ,"C/ DRACENA, 29, 28016 MADRID",educativo, Chamartín ,15.220080089559456,Empresa desconocida,2020-11-10
CEIP PADRE POVEDA,"AV/ ALFONSO XIII, 23, 28002 MADRID",educativo, Chamartín ,15.220080089559456,Empresa desconocida,2021-11-10
EI PARQUE INGENIEROS,C/TABERNERA DEL PUERTO 26,educativo, Villaverde ,15.220080089559456,Empresa desconocida,2020-11-10
UID MONCLOA-ARAVACA,"AVDA. VALLADOLID, 6",seguridad, Moncloa Aravaca ,21.65000000000001,FERROVIAL,2021-01-04
CENTRO ACOGIDA SAN ISIDRO,PASEO DEL REY 34, social , Moncloa Aravaca ,18.68068312801352,Empresa desconocida,2020-11-10
CDM SAN BLAS,"C/ ARCOS DE JALÓN,  59", deportivo , San Blas Canillejas ,18.68068312801352,Empresa desconocida,2021-04-28
UID HORTALEZA,"C/AREQUIPA , 2", seguridad , Hortaleza ,18.68068312801352,AURA,2021-08-12
CDM JUAN DE DIOS ROMÁN,"C/JOSÉ GUTIÉRREZ MAROTO, 34", deportivo , Villa de Vallecas ,18.68068312801352,FERROVIAL,2021-10-01
BIBLIOTECA ÃNGEL GONZALEZ,"C/ GRANJA DE TORREHERMOSA, 2 ",cultural,Latina,18.51183412814345,ORTIZ,2019-07-31
BIBLIOTECA IVÃN DE VARGAS,"C/ DOCTOR LETAMENDI, 1",cultural,Centro,18.51183412814345,ORTIZ,2019-07-24
BIBLIOTECA EUGENIO TRIAS (CASA FIERAS),"AV/ MENENDEZ PELAYO , 10-3 BJ ",cultural,Retiro,18.51183412814345,ORTIZ,2019-07-24
PLANETARIO,AV/ PLANETARIO 16,cultural,Arganzuela,23.761200976841423,FULTON,2019-09-13
MADRID EMPRENDE,"C/CIDRO, 3 ",administrativo,Carabanchel,16.51542372140949,Empresa desconocida,2019-09-13
NAVE BOETTICHER,"C/ CIFUENTES, 22 28021 MADRID",administrativo,Villaverde,16.51542372140949,ETRALUX,2019-09-13
OFICINA ECONOMIA SOCIAL-PROYECTO MARES ALBERTO PALACIOS,"PASEO ALBERTO PALACIOS, 13",administrativo,Villaverde,16.51542372140949,AURA,2019-01-15
AULA DE LA NATURALEZA DEHESA DE LA VILLA,"C/ FRANCOS RODRIGUEZ, 97 ",medioambiental,Moncloa Aravaca,6.307692307692309,Empresa desconocida,2008-08-13
VIVERO MUNICIPAL DE ESTUFAS DEL RETIRO,"Pza. del Ángel Caído. Parque del Retiro 
(Entrada al Retiro al final de la cuesta de Claudio Moyano)",medioambiental,Retiro,6.307692307692309,Empresa desconocida,2008-08-13
VIVERO MUNICIPAL DE MIGAS CALIENTES,"Km. 22. M-30 (frente a palacio Moncloa)
 M-30 . Km. 21.600, calzada sur.",medioambiental,Moncloa Aravaca,6.307692307692309,Empresa desconocida,2008-08-13
ROSALEDA DEL PARQUE DEL OESTE,"c/ de la Rosaleda s/n. Rosaleda del Parque del Oeste
 (junto al teleférico)",medioambiental,Moncloa Aravaca,6.307692307692309,Empresa desconocida,2008-08-13
ALMACÃN DE LA VILLA,"C/ AHUMAOS, 27 28052 MADRID",almacÃ©n,VicÃ¡lvaro,18.68068312801352,SAVEFFI,2020-03-27
BASE SAMUR NÂº 14 FUERTE DE NAVIDAD,"C/ CASUARINA, 10",sanitario,Latina,7.428571428571431,AURA,2018-02-14
CENTRO PROTECCIÃN ANIMAL,"CARRETERA BARRIO DE LA FORTUNA, KM 10. 28054",sanitario,Latina,7.428571428571431,POWEN,2018-06-21
BASE SAMUR NÂº 02 SAN BERNARDO/ CENTRO INTEGRAL EMERGENCIAS,"C/ SAN BERNARDO, 68 ",seguridad,Centro,21.65000000000001,AURA,2020-02-14
PARQUE DE BOMBEROS NÂº 7,"Av Hellin, 52",seguridad,San Blas Canillejas,21.65000000000001,FERROVIAL,2018-02-13
PARQUE DE BOMBEROS NÂº 11,"C/ Mesena, 146",seguridad,Hortaleza,21.65000000000001,FERROVIAL,2019-10-01
CSS JOSÃ VILLARREAL (ARGANZUELA),"PLAZA JOSE VILLARREAL, 2 ",social,Arganzuela,14.560321808799788,Empresa desconocida,2008-09-29
EI LA MELONERA ,"C/ EROS, 2",educativo,Arganzuela,15.220080089559456,IMESAPI,2019-05-07
CDM MARQUÃS DE SAMARANCH,Pº IMPERIAL 20,deportivo,Arganzuela,57.45893079480029,EULEN,2019-02-12
CDI ARGANZUELA,"C/ CANARIAS, 17 Y PALOS DE LA FRONTERA, 16",mixto,Arganzuela,61.230559460159824,EULEN,2019-03-10
CDM ARGANZUELA LA FUNDI,"C/ ALICANTE , 14",deportivo,Arganzuela,30.132938213671185,Empresa desconocida,2020-02-28
CC Y BIBLIOTECA GLORIA FUERTES,AV/ LOGROÑO 181,cultural,Barajas,18.51183412814345,DRAGADOS,2019-12-14
CMM ACUARIO,"C/ ACUARIO, 27",social,Barajas,14.560321808799788,EULEN,2019-04-01
CC SAN FRANCISCO LA PRENSA,"C/ALISEDA, 6 ",cultural,Carabanchel,18.51183412814345,Empresa desconocida,2008-09-29
CSC GARCÃA LORCA,"C/ EUGENIA DE MONTIJO, 105, B 1",cultural,Carabanchel,18.51183412814345,AURA,2018-09-25
CDM PUERTA BONITA (ANTIGUO CANÃDROMO),"C/ VÍA CARPETANA, 71",deportivo,Carabanchel,30.132938213671185,AURA,2019-03-07
CEIP /EIM FERNANDO EL CATÃLICO,"C/ FERNANDO EL CATÓLICO, 16",educativo,ChamberÃ­,15.220080089559456,EULEN,2019-12-14
"JMD CIUDAD LINEAL (CMM, CC, BIBLIOTECA)","C/ HERMANOS GARCÍA NOBLEJAS, 16",mixto,Ciudad Lineal,40.39699077114637,PECSA,2018-10-24
"CENTRO DE DÃA Y DE MAYORES ASCAO/
BIBLIOTECA PABLO NERUDA","C/ ASCAO, 2",mixto,Ciudad Lineal,25.672902940276035,PECSA,2018-01-21
CC LA ELIPA Y CSS SANTA FELICIDAD,"C/SANTA FELICIDAD, 37",mixto,Ciudad Lineal,21.044991103794743,PECSA,2018-08-22
CC Y CMM SAN JUAN BAUTISTA,"C/ SAN NEMESIO, 1",mixto,Ciudad Lineal,20.19667335752064,PECSA,2018-01-21
CMM Y CSS LUIS VIVES,"C/ HERMANOS GARCÍA NOBLEJAS, 170",social,Ciudad Lineal,17.054313255124992,PECSA,2018-01-21
CMM / CC / BIBILIO LA ELIPA (ANTES ISLAS FILIPINAS),"C/ NUESTRA SEÑORA DEL VILLAR, 8",social,Ciudad Lineal,20.527238488697872,PECSA,2018-10-24
CSS SAN VICENTE DE PAUL, C/BUITRAGO DE LOZOYA 22,social,Fuencarral El Pardo,14.560321808799788,AVELSA (Avance Electrico S.L) ,2018-09-01
EI ELENA FORTÃN (MONTECARMELO),AV/ M.º SILOS 57 / CAAVEIRO,educativo,Fuencarral El Pardo,15.220080089559456,ORTHEM,2019-03-07
CDM VICENTE DEL BOSQUE,"AV/ MONFORTE DE LEMOS, 13",deportivo,Fuencarral El Pardo,41.4643577007307,Ortiz,2019-05-28
CDM LA MASÃ,"C/ DE LA MASÓ, 190 BJ ",deportivo,Fuencarral El Pardo,45.29572705244757,DRAGADOS,2019-12-11
EI EL FRESNO,"C/MARIA CASARES, 15 ",educativo,Fuencarral El Pardo,15.220080089559456,Empresa desconocida,2019-04-26
EI POETA GLORIA FUERTES (LAS TABLAS),C/ EUNATE 6 C/CASTILLO DE CANDANCHÚ 42-46,educativo,Fuencarral El Pardo,15.220080089559456,CONDISA,2019-02-12
CDM LUIS ARAGONÃS,C/PROVENCIO 20,deportivo,Hortaleza,33.82153255941607,DRAGADOS,2018-11-15
CC SANCHINARRO Y BIBLIOTECA MARÃA LEJÃRRAGA,"C/ PRINCESA ÉBOLI, 29",cultural,Hortaleza,18.51183412814345,DRAGADOS,2019-02-22
JMD HORTALEZA,CARRETERA DE CANILLAS 2,administrativo,Hortaleza,16.51542372140949,DRAGADOS,2019-03-07
CC FEDERICO CHUECA ,"C/ BENITA ÁVILA, 17",cultural,Hortaleza,18.51183412814345,DRAGADOS,2018-11-19
JMD LATINA,"AV/ LAS AGUILAS, 2 (ANT AV/DEL GENERAL FANJUL)",administrativo,Latina,16.51542372140949,AURA,2018-11-22
CDM LAS CRUCES,"AV/ POBLADOS, S/N BJ - ",deportivo,Latina,30.132938213671185,FERROVIAL,2019-02-08
CENTRO DE DÃA GERTRUDIS DE LA FUENTE,"C/ ALHAMBRA / C/ CUÑA LATINA DOS, 2",social,Latina,14.560321808799788,AURA,2019-05-25
CENTRO DE ACOGIDA MUNICIPAL PUERTA ABIERTA,"C/ PINAR DE SAN JOSE , 104 - MADRID (28054)",social,Latina,14.560321808799788,Empresa desconocida,2016-08-08
CDM GALLUR,"C/ GALLUR, 2",deportivo,Latina,36.67713736729653,AURA,2020-02-19
EI BOLA DE CRISTAL (VALDEZARZA),"C/ ISLAS BISAGOS, 13",educativo,Moncloa Aravaca,15.220080089559456,CYOPSA,2018-12-06
IDM LA BOMBILLA,"Paseo Senda del Rey, 8",deportivo,Moncloa Aravaca,30.132938213671185,CONDISA (grupo Ortiz),2019-01-23
CC EDUARDO CHILLIDA Y BIBLIOTECA MIGUEL DELIBES,"C/ ARROYO BELINCOSO, 9",cultural,Moratalaz,18.51183412814345,PECSA,2018-10-24
CMM EL ALMENDRO/ CSS VALDEBERARDO,"C/ LADERA DE LOS ALMENDROS, 4-6",social,VicÃ¡lvaro,14.560321808799788,PECSA,2018-10-24
EI SABINA (MORATALAZ),C/ CAÑÓN DEL RIO LOBOS,educativo,Moratalaz,15.220080089559456,CYOPSA,2018-10-24
CDM MORATALAZ,C/ VALDEBERNARDO 2,deportivo,Moratalaz,43.842037017752496,FERROVIAL,2019-03-08
CSS RETIRO Y APARTAMENTOS TUTELADOS ,"C/ JOSE MARTÍNEZ DE VELASCO, 22",social,Retiro,14.560321808799788,OHL,2019-03-25
CEIP ESCUELAS AGUIRRE,C/ PIO BAROJA 4,educativo,Retiro,15.220080089559456,OHL,2019-03-03
CEIP JOSE CALVO SOTELO,"AV/ CIUDAD DE BARCELONA, 83",educativo,Retiro,15.220080089559456,OHL,2019-03-03
CEIP CIUDAD DE ROMA,"C/ JUAN ESPLANDIÚ,2 ",educativo,Retiro,15.220080089559456,OHL,2019-03-03
CMM LA ESTRELLA - CARMEN MARTÃN GAITE,C/ PEZ AUSTRAL 6 - 28007 MADRID,social,Retiro,14.560321808799788,Empresa desconocida,2016-10-26
CMM/CENTRO DIA/CSS LA GUINDALERA,"C/ PILAR DE ZARAGOZA, 28, Bajo",social,Salamanca,14.560321808799788,FERROVIAL,2018-09-20
CC BUENAVISTA Y BIBLIOTECA DAVID GISTAU,"AV DE LOS TOREROS, 5",cultural,Salamanca,18.51183412814345,FERROVIAL,2018-11-13
CC JOSE LUIS LÃPEZ VÃZQUEZ,"C/ FEBRERO, 4",cultural,San Blas Canillejas,18.51183412814345,DRAGADOS,2018-11-19
JMD SAN BLAS - CANILLEJAS,"AV/ DE ARCENTALES, 26",administrativo,San Blas Canillejas,16.51542372140949,DRAGADOS,2019-03-07
CDM ANTONIO DÃAZ MIGUEL,"C/JOAQUIN DICENTA, 1 ",deportivo,TetuÃ¡n,30.132938213671185,Empresa desconocida,2018-01-15
CC EDUARDO ÃRCULO Y BIBLIOTECA MARÃA ZAMBRANO,"PLAZA DE DONOSO, 5",cultural,TetuÃ¡n,18.51183412814345,FERROVIAL,2018-11-12
CSS SAN FILIBERTO,"C/ SAN FILIBERTO, 5 BJ ",social,Usera,14.560321808799788,AURA,2018-03-05
CMM ORCASUR,"AV ORCASUR, 64",social,Usera,14.560321808799788,AURA,2018-02-19
CC ORCASUR Y BIBLIOTECA GABRIEL GARCÃA MÃRQUEZ," PLAZA PUEBLO, 1 BJ1",cultural,Usera,18.51183412814345,AURA,2018-10-16
JMD USERA,"AV/. RAFAELA YBARRA, 41",administrativo,Usera,16.51542372140949,AURA,2018-12-14
CDM ORCASUR,"C/ MOREJA, 3",deportivo,Usera,30.132938213671185,AURA,2019-02-14
EI PENSAMIENTO (MIRASIERRA),"C/ MIRASIERRA, 27 ",educativo,Usera,15.220080089559456,IMESAPI,2019-01-03
CDM VICÃLVARO (MARGOT MOLÃS),"Pº POLIDEPORTIVO, 3",deportivo,VicÃ¡lvaro,38.8716119128225,ELECTOSA ,2018-05-09
CC VALDEBERNARDO Y BIBLIOTECA FRANCISCO AYALA,"C/ BULEVAR INDALECIO PRIETO, 21",cultural,VicÃ¡lvaro,24.31081529132888,PECSA,2018-11-12
CC EL MADROÃO Y BIBLIOTECA VICÃLVARO,"C/ VILLARDONDIEGO, 36",cultural,VicÃ¡lvaro,21.33174639830994,PECSA,2018-11-12
JMD VICÃLVARO,"PLAZA DON ANTONIO DE ANDRÉS, 18",administrativo,VicÃ¡lvaro,18.23319613257634,PECSA,2018-11-12
CSS PUERTO DE LAS PILAS,"C/ FUENTIDUEÑA,16",social,Villa de Vallecas,15.6324849198205,PECSA,2018-11-12
CMM VILLA DE VALLECAS ,"C/ PICO DE MAMPODRE, 6",social,Villa de Vallecas,14.812046160513145,PECSA,2018-11-16
JMD VILLA DE VALLECAS,"Pº FEDERICO GARCÍA LORCA, 12",administrativo,Villa de Vallecas,24.669259409472865,PECSA,2018-11-16
CDM FÃLIX RUBIO,"C/CIUDADANÍA, 9",deportivo,Villaverde,30.132938213671185,AURA,2018-03-07
CC MARCONI,"AV/ MARCONI, 2 BAJO/1",cultural,Villaverde,18.51183412814345,AURA,2018-02-19
CC NUEVO ROSALES,"AV/ LOS ROSALES, 133",cultural,Villaverde,18.51183412814345,AURA,2018-03-05
CC BOHEMIOS,"C/ BOHEMIOS 1, B1",cultural,Villaverde,18.51183412814345,AURA,2018-02-19
JMD VILLAVERDE,"C/ ARROYO BUENO, 53, Sot Dch 1",administrativo,Villaverde,16.51542372140949,AURA,2018-11-12
CDM EL ESPINILLO,"CARRETERA DE VILLAVERDE A VALLECAS, 19",deportivo,Villaverde,30.132938213671185,AURA,2020-01-29
EI MAMUT  (BUTARQUE),"C/ MARICARA, 32",educativo,Villaverde,15.220080089559456,UGARTE,2019-01-03
PARQUE BOMBEROS NÂº 8,CALLE BOADA 9,seguridad,Puente de Vallecas,21.65000000000001,FERROVIAL,2019-10-18
CAF-2 y Casa de NiÃ±os (antes CC RubÃ©n DarÃ­o) ,CALLE MATAPOZUELOS 2,mixto,Hortaleza,26.67175038015901,SAVEFFI,2020-03-25
EI PLÃYADES,AVENIDA SECUNDINO ZUAZO 52,educativo,Hortaleza,15.220080089559456,Empresa desconocida,2020-03-25
CMM ANTONIO MINGOTE (VALLEHERMOSO),CALLE VALLEHERMOSO 47,social,ChamberÃ­,14.560321808799788,SAVEFFI,2020-07-07
BIBLIOTECA GERARDO DIEGO,"CALLE  MONTE AYA,  12",cultural,Villa de Vallecas,18.51183412814345,ACCIONA,2020-11-20
BIBLIOTECA MANUEL VÃZQUEZ MONTALBÃN,"CALLE FRANCOS RODRÍGUEZ, 67",cultural,TetuÃ¡n,18.51183412814345,ACCIONA,2020-12-03
CDM PLATA Y CASTAÃAR,"PASEO  PLATA Y CASTAÑAR,  7",deportivo,Villaverde ,30.132938213671185,ACCIONA,2022-05-13
BIBLIOTECA MUNICIPAL BARRIO DE SAN FERMÃN,"AVD. SAN FERMÍN, 8  28041 MADRID",cultural,Usera,18.51183412814345,Empresa desconocida,2022-02-01
CDM JOSE MARIA CAGIGAL,"C/ SANTA POLA, 22",deportivo,Moncloa Aravaca,30.132938213671185,SAVEFFI,2020-12-16
CEIP SAN JUAN DE LA CRUZ,"C/ DE HONDURAS, 10, 28016 MADRID",educativo,ChamartÃ­n,15.220080089559456,Empresa desconocida,2020-11-10
CEIP ARQUITECTO GAUDÃ,"C/ ROSA JARDÓN, 10, 28016 MADRID",educativo,ChamartÃ­n,15.220080089559456,Empresa desconocida,2020-11-10
CEIP ISAAC ALBÃNIZ,"C/ DRACENA, 29, 28016 MADRID",educativo,ChamartÃ­n,15.220080089559456,Empresa desconocida,2020-11-17
CEIP PADRE POVEDA,"AV/ ALFONSO XIII, 23, 28002 MADRID",educativo,ChamartÃ­n,15.220080089559456,Empresa desconocida,2020-11-10
CSC OPORTO,"AVDA. OPORTO, 78",social,Carabanchel,14.560321808799788,ACCIONA FACILITY SERVICES,2021-11-10
CSS PABLO CASALS,"C/ POBLADURA DEL VALLE, 13 ",social,San Blas Canillejas,14.560321808799788,Empresa desconocida,2022-09-29
EI PARQUE INGENIEROS,C/TABERNERA DEL PUERTO 26,educativo,Villaverde,15.220080089559456,Empresa desconocida,2020-11-10
